ecoregion,year,Latitude,Longitude,PTP,water,wetland,shrub,dshrub,dec,mixed,spruce,baresnow,GCSP
AP,2008,57.05189995,-157.8564738,141570103,0,0,0.662379421,0.337620579,0,0,0,0,0
AP,2008,57.04800571,-157.8521611,141570104,0,0,0.402555911,0.562300319,0,0,0,0.03514377,0
AP,2008,57.04374863,-157.8492251,141570105,0,0,0.003194888,0.552715655,0,0,0,0.444089457,0
AP,2008,57.03967771,-157.8454851,141570106,0,0,0.295238095,0.136507937,0,0,0,0.568253968,0
AP,2008,57.02587615,-157.8445633,141570109,0.032051282,0,0.775641026,0.192307692,0,0,0,0,0
AP,2008,56.84271002,-157.9691832,136770208,0,0,0.73968254,0.177777778,0,0,0,0.082539683,1
AP,2008,56.73122107,-157.7722705,132000101,0,0,0.716088328,0.283911672,0,0,0,0,1
AP,2008,56.98006284,-157.6013329,139190204,0,0,1,0,0,0,0,0,1
AP,2008,56.74885048,-158.1381205,134370202,0,0,0.961538462,0.038461538,0,0,0,0,1
AP,2008,57.01255471,-157.6100979,139190402,0,0,0.607717042,0.389067524,0,0,0,0.003215434,1
AP,2008,56.85569108,-157.9926393,136770204,0,0,0.949206349,0.022222222,0,0,0,0.028571429,1
AP,2008,56.82635852,-158.2172473,136760107,0,0,0.344051447,0.623794212,0,0,0,0.032154341,1
AP,2008,56.97328951,-157.7369968,139180202,0,0,0.971061093,0.028938907,0,0,0,0,1
AP,2008,56.98620787,-157.6598312,139180307,0,0,0.945859873,0.038216561,0,0,0,0,1
AP,2008,56.81737237,-158.2166986,136760109,0,0,1,0,0,0,0,0,1
AP,2008,56.98560412,-157.7472269,139180111,0,0,0.858064516,0.141935484,0,0,0,0,1
AP,2008,56.83085097,-158.2153572,136760106,0,0,0.022292994,0.945859873,0,0,0,0.031847134,1
AP,2008,57.01571896,-157.6520611,139190408,0,0,1,0,0,0,0,0,1
AP,2008,56.74688467,-158.1307938,134370203,0,0,0.742038217,0.257961783,0,0,0,0,1
AP,2008,57.03095466,-157.8399535,141570108,0,0,0.438095238,0.298412698,0,0,0,0.263492063,1
AP,2008,56.98280708,-157.7406978,139180110,0,0.146964856,0.725239617,0.111821086,0,0,0,0,1
AP,2008,57.01401458,-157.644192,139190406,0,0,0.961661342,0.038338658,0,0,0,0,1
AP,2008,56.96496192,-157.7282444,139180204,0,0,0.875,0.125,0,0,0,0,1
AP,2008,57.01358065,-157.635872,139190405,0,0,0.776357827,0.108626198,0,0,0,0.115015974,1
AP,2008,56.98380478,-157.5966562,139190203,0,0,0.785488959,0.214511041,0,0,0,0,1
AP,2008,56.86278233,-158.0135645,136770201,0,0,0.246835443,0.689873418,0,0,0,0.063291139,1
AP,2008,56.96973056,-157.731866,139180203,0,0,0.889240506,0.110759494,0,0,0,0,1
AP,2008,56.98653116,-157.7263322,139180302,0.00952381,0,0.93968254,0.050793651,0,0,0,0,1
AP,2008,56.97781272,-157.7188311,139180107,0,0,1,0,0,0,0,0,1
AP,2008,56.73401887,-158.1465881,134370301,0.022082019,0.186119874,0.586750789,0.189274448,0,0,0,0,1
AP,2008,57.06111082,-157.9681425,141560202,0,0,0.528481013,0.471518987,0,0,0,0,1
AP,2008,56.94610021,-157.7055363,139180209,0,0,0.942122187,0.057877814,0,0,0,0,1
AP,2008,56.98339205,-157.6440688,139190305,0,0,0.958730159,0.025396825,0,0,0,0.012698413,1
AP,2008,56.98578333,-157.6683779,139180308,0,0,0.899676375,0.093851133,0,0,0,0,1
AP,2008,56.85251283,-157.9868381,136770205,0,0,0.901898734,0.098101266,0,0,0,0,1
AP,2008,57.01334227,-157.627059,139190404,0,0,0.740506329,0.142405063,0,0,0,0.117088608,1
AP,2008,56.94902902,-157.7120207,139180208,0,0,0.936507937,0.044444444,0,0,0,0.019047619,1
AP,2008,56.9719816,-157.696294,139180104,0,0,0.438709677,0.535483871,0,0,0,0.025806452,1
AP,2008,56.95275628,-157.7166804,139180207,0,0,0.936708861,0.063291139,0,0,0,0,1
AP,2008,56.81208515,-158.2162523,136760110,0,0,1,0,0,0,0,0,1
AP,2008,56.98000182,-157.6282692,139190303,0,0,0.703225806,0.219354839,0,0,0,0.012903226,1
AP,2008,56.74949169,-158.1464146,134370201,0,0,0.592356688,0.407643312,0,0,0,0,1
AP,2008,56.86071401,-158.0063628,136770202,0,0,0.794871795,0.166666667,0,0,0,0.038461538,1
AP,2008,56.74886942,-158.1599828,134370404,0,0,0.254019293,0.745980707,0,0,0,0,1
AP,2008,57.01358953,-157.6187785,139190403,0,0,0.681672026,0.318327974,0,0,0,0,1
AP,2008,56.7489778,-158.1231782,134370204,0.197452229,0.015923567,0.703821656,0.082802548,0,0,0,0,1
AP,2008,56.96055698,-157.7251937,139180205,0,0,0.981012658,0.018987342,0,0,0,0,1
AP,2008,57.05817673,-157.9540977,141560204,0,0,0.741214058,0.150159744,0,0,0,0.108626198,1
AP,2008,57.03556244,-157.841269,141570107,0,0,0.165605096,0.191082803,0,0,0,0.643312102,1
AP,2008,56.80200339,-158.2169111,136760112,0,0,0.974440895,0.025559105,0,0,0,0,1
AP,2008,56.97526261,-157.7117632,139180106,0,0,0.819620253,0.180379747,0,0,0,0,1
AP,2008,56.98615691,-157.7345711,139180301,0,0.022222222,0.977777778,0,0,0,0,0,1
AP,2008,56.97382252,-157.7038888,139180105,0,0,0.487261147,0.512738854,0,0,0,0,1
AP,2008,56.97879877,-157.6203179,139190302,0,0,0.705696203,0.294303797,0,0,0,0,1
AP,2008,56.96378125,-157.6895082,139180102,0,0,0.480645161,0.519354839,0,0,0,0,1
AP,2008,57.02118102,-157.6463979,139190407,0,0,0.184466019,0.786407767,0,0,0,0.029126214,1
AP,2008,57.05785906,-157.9623805,141560203,0,0,0.352380952,0.53015873,0,0,0,0.117460317,1
AP,2008,56.82181486,-158.218573,136760108,0,0,0.790996785,0.209003215,0,0,0,0,1
AP,2008,56.97727678,-157.7409212,139180201,0.009615385,0,0.891025641,0.099358974,0,0,0,0,1
AP,2008,57.07170462,-157.9684994,141560303,0,0.041533546,0.54313099,0.383386581,0,0,0,0,1
AP,2008,57.02089604,-157.8872469,141560502,0,0,1,0,0,0,0,0,1
AP,2008,56.95655672,-157.7212721,139180206,0,0,0.974683544,0.025316456,0,0,0,0,1
AP,2008,56.98060465,-157.7333857,139180109,0,0.047923323,0.948881789,0.003194888,0,0,0,0,1
AP,2008,56.98503583,-157.7176075,139180303,0,0.019047619,0.980952381,0,0,0,0,0,1
AP,2008,57.06787921,-157.9640689,141560302,0,0.069620253,0.487341772,0.386075949,0,0,0,0.037974684,1
AP,2008,56.72677003,-157.7740583,132000102,0,0,0.926282051,0.073717949,0,0,0,0,1
AP,2008,57.01188575,-157.601817,139190401,0,0,0.759493671,0.240506329,0,0,0,0,1
AP,2008,56.84540799,-157.9759712,136770207,0,0,0.579617834,0.420382166,0,0,0,0,1
AP,2008,56.75179051,-158.1546682,134370110,0,0,0.389776358,0.610223642,0,0,0,0,1
AP,2008,56.94428352,-157.6975197,136790210,0,0,0.948717949,0.051282051,0,0,0,0,1
AP,2008,56.84860895,-157.9827817,136770206,0,0,0.678456592,0.321543408,0,0,0,0,1
AP,2008,57.0611254,-157.9763863,141560201,0,0,0.237341772,0.670886076,0,0,0,0.091772152,1
