ecoregion,year,Latitude,Longitude,PTP,water,wetland,shrub,dshrub,dec,mixed,spruce,baresnow,GCSP
LH,2004,60.33837033,-154.1499732,215950209,0,0,0,0,0.025723473,0.07073955,0.903536977,0,0
AP,2005,58.96269081,-155.7202057,184760112,0,0,0.364217252,0.265175719,0,0.019169329,0.3514377,0,0
AR,2004,60.98569877,-153.9390278,232700207,0.164556962,0,0.433544304,0,0.253164557,0.050632911,0.098101266,0,0
LH,2004,60.37423541,-154.1676771,215950109,0.015974441,0,0.102236422,0,0.265175719,0.47284345,0.143769968,0,0
LH,2004,60.00882022,-154.5711067,208750408,0,0,0.658146965,0,0,0.166134185,0.17571885,0,0
AP,2005,58.42506917,-155.9881716,170390301,0,0.01607717,0.282958199,0.234726688,0,0.180064309,0.286173633,0,0
LH,2004,60.76798989,-153.9649039,225530108,0,0,0.269230769,0.692307692,0,0,0,0.038461538,0
AP,2005,58.701935,-155.5201524,177590203,0.152380952,0.003174603,0.00952381,0.117460317,0.057142857,0.101587302,0.501587302,0,0
AP,2006,58.69484785,-154.0127792,172900102,0,0,0,0.041269841,0,0,0,0.958730159,0
AP,2005,58.52727215,-154.3878778,168090104,0,0,0.025396825,0.650793651,0,0,0,0.323809524,0
AR,2004,60.14450387,-153.6065992,208800107,0,0,0.028846154,0.134615385,0,0,0,0.836538462,0
AP,2005,58.39491427,-155.0820745,168050105,0,0,0,0.054140127,0,0,0,0.945859873,0
LH,2004,60.77185295,-154.4132831,227890302,0.159235669,0,0.474522293,0.194267516,0,0,0,0.171974522,0
AP,2005,58.99414114,-155.7461967,184760103,0.057142857,0.003174603,0.038095238,0.098412698,0,0.142857143,0.66031746,0,0
AP,2005,58.40819933,-156.0055726,170390305,0,0.161392405,0.139240506,0.053797468,0,0.079113924,0.566455696,0,0
AP,2005,58.82380343,-154.5259205,177650104,0,0,0,0.060126582,0,0,0,0.939873418,0
AP,2005,58.32193421,-155.0756711,165660202,0,0,0,0,0,0,0,1,0
AP,2005,58.4114635,-155.9572256,170390404,0,0,0.458860759,0.003164557,0.344936709,0.041139241,0.151898734,0,0
AP,2005,58.58298833,-154.6310286,170470402,0,0,0.883280757,0,0.116719243,0,0,0,0
AP,2006,58.1540918,-154.486495,158520403,0,0,0.916129032,0.083870968,0,0,0,0,0
AP,2006,58.21807757,-154.5469397,160910303,0,0,0,0,0,0,0,1,0
AR,2004,60.94410717,-154.4993986,232670209,0,0.119873817,0.410094637,0,0,0,0.470031546,0,0
AP,2005,58.26893561,-155.7372496,165620108,0,0,0.923809524,0.076190476,0,0,0,0,0
AR,2004,59.97335295,-154.073903,206380202,0,0,0.761290323,0,0,0.016129032,0.222580645,0,0
AP,2005,59.09992184,-155.3078157,187170101,0.006349206,0,0.073015873,0.920634921,0,0,0,0,0
AR,2004,60.94859954,-154.5003465,232670208,0,0.094936709,0.439873418,0,0,0,0.465189873,0,0
LH,2004,60.81604603,-153.9638389,227920405,0,0,0,0.746031746,0,0,0,0.253968254,0
LH,2004,60.7810603,-154.4379616,227890102,0,0,0.146964856,0.827476038,0.022364217,0,0,0.003194888,0
AP,2005,58.88328552,-155.8371968,182360403,0,0,0.408227848,0.591772152,0,0,0,0,0
AP,2006,58.29591595,-154.404485,163310301,0,0,0,0.01910828,0,0,0,0.98089172,0
LH,2004,60.79568504,-153.9830022,227920101,0.298412698,0,0.104761905,0.403174603,0.066666667,0,0,0.126984127,0
LH,2004,60.64502645,-154.2639347,223120307,0.080128205,0,0.439102564,0.317307692,0,0,0.163461538,0,0
AP,2006,58.33327484,-154.2936692,163310101,0,0,0.114649682,0.242038217,0,0,0,0.643312102,0
AP,2005,59.11187469,-155.3273479,187170105,0,0,0.21656051,0.770700637,0,0,0.012738854,0,0
AP,2005,58.29484105,-155.8763463,168000101,0.018927445,0,0.012618297,0.757097792,0,0,0,0.211356467,0
AR,2004,60.90399231,-153.9118409,230310201,0,0,0.70096463,0.167202572,0,0.106109325,0.025723473,0,0
AP,2005,58.31118643,-155.937549,168000109,0,0,0.271565495,0.728434505,0,0,0,0,0
AP,2005,58.48784183,-156.1490613,172770110,0,0,1,0,0,0,0,0,0
AR,2004,60.28395317,-153.927157,213570106,0,0,0.092651757,0,0.003194888,0.313099042,0.591054313,0,0
AP,2005,58.79437247,-155.2777576,177610208,0,0,0.261980831,0.738019169,0,0,0,0,0
AR,2004,60.72237206,-153.9463918,225530203,0,0,0,0,0,0,0,1,0
LH,2004,60.48514257,-153.7901112,218360301,0,0,0.624203822,0.076433121,0.251592357,0.047770701,0,0,0
LH,2004,60.37671293,-154.1058373,215950102,0,0,0.24522293,0.334394904,0,0,0.117834395,0.302547771,0
LH,2004,60.86689845,-153.8876829,227920201,0,0,0.009493671,0.990506329,0,0,0,0,0
AP,2005,58.54665488,-156.1998873,175160109,0.025477707,0,0.792993631,0.181528662,0,0,0,0,0
AR,2004,60.38326724,-152.6008577,213640403,0,0,0.685714286,0.050793651,0,0,0.044444444,0.219047619,0
AR,2004,60.99216356,-153.9366415,232700205,0,0,0.791666667,0,0,0.019230769,0.189102564,0,0
AP,2005,58.7697731,-154.7260253,175250104,0,0,0,0.268987342,0,0,0,0.731012658,0
AR,2004,61.43454675,-153.0436223,242320101,0,0,0,0.009646302,0,0,0,0.990353698,0
AR,2004,60.73073762,-153.0452981,223180202,0,0,0,0.71884984,0,0,0,0.28115016,0
LH,2004,60.50169541,-153.8422749,218360103,0,0,0.984025559,0,0,0.015974441,0,0,0
AP,2005,58.53149772,-154.3947158,168090105,0,0,0,0.852564103,0,0,0,0.147435897,0
LH,2004,60.50422758,-153.955791,218350206,0.019230769,0,0.176282051,0,0,0,0.602564103,0.201923077,0
AR,2004,60.30276124,-153.9327224,213570102,0,0,0.440514469,0,0.430868167,0.080385852,0.048231511,0,0
LH,2004,60.5021337,-153.9465077,218350205,0.044303797,0,0.044303797,0,0,0,0.797468354,0.113924051,0
LH,2004,60.33438507,-154.1448264,215950210,0.034810127,0,0,0,0.047468354,0.091772152,0.825949367,0,0
AP,2005,58.79886735,-155.2780548,177610209,0,0,0.041533546,0.958466454,0,0,0,0,0
AR,2004,60.27583052,-153.9046368,213570212,0,0,0.003154574,0,0.38170347,0.406940063,0.208201893,0,0
LH,2004,60.37902516,-154.1319204,215950105,0,0,0.528481013,0.180379747,0.10443038,0.113924051,0.07278481,0,0
AR,2004,60.71009106,-153.0520847,223180107,0,0,0.924050633,0.037974684,0.034810127,0.003164557,0,0,0
AP,2006,58.73641027,-153.9941106,172900207,0,0,1,0,0,0,0,0,0
AP,2005,58.70100377,-155.5288135,177590204,0.089456869,0.047923323,0.156549521,0.191693291,0.031948882,0.038338658,0.437699681,0,0
LH,2004,60.78968871,-154.4324768,227890104,0,0,0.649681529,0.292993631,0.01910828,0.038216561,0,0,0
AR,2004,60.46255133,-153.4461865,215990202,0.015974441,0,0.686900958,0.146964856,0,0,0.022364217,0.127795527,0
AP,2005,58.74645238,-154.7897602,175250118,0,0,0.121405751,0.878594249,0,0,0,0,0
LH,2004,60.50378015,-153.9377054,218350204,0,0,0.06031746,0,0,0,0.93968254,0,0
AP,2006,58.6185851,-153.7885672,170520105,0,0,1,0,0,0,0,0,0
LH,2004,60.1733771,-154.3451533,211150403,0,0,0.041533546,0,0.086261981,0.329073482,0.54313099,0,0
LH,2004,60.37334885,-154.1766071,215950110,0,0,0,0,0.376582278,0.496835443,0.126582278,0,0
LH,2004,60.03061468,-154.5848232,208750403,0,0,0.336507937,0,0.025396825,0.111111111,0.526984127,0,0
AR,2004,60.9923856,-153.9177113,232700203,0,0,0.61414791,0,0.273311897,0.064308682,0.048231511,0,0
AR,2004,60.55065435,-152.900582,218410108,0.034700315,0,0.876971609,0.015772871,0,0,0.059936909,0.012618297,0
AR,2004,60.96143089,-154.0191756,232700105,0.259493671,0.205696203,0.509493671,0,0,0,0.025316456,0,0
AR,2004,60.98783028,-153.9190385,232700202,0,0,0.231746032,0,0.041269841,0.457142857,0.26984127,0,0
AP,2006,58.30124944,-154.3820905,163310309,0,0,0.23659306,0.264984227,0,0,0,0.498422713,0
LH,2004,60.34001771,-154.1587727,215950208,0,0,0,0,0.428115016,0.21086262,0.361022364,0,0
AP,2005,58.37677734,-155.4827873,168030307,0,0.135048232,0.202572347,0.1414791,0.154340836,0.08681672,0.279742765,0,0
AR,2004,60.98432262,-153.9300625,232700208,0.157051282,0,0.288461538,0,0.112179487,0.269230769,0.173076923,0,0
